Plan ID,Rate Effective Date,Rate Expiration Date,Age,Tobacco,Rating Area ID,Individual Rate,Individual Tobacco Rate,Couple,Primary Subscriber and One Dependent,Primary Subscriber and Two Dependents,Primary Subscriber and Three Dependents,Couple and One Dependent,Couple and Two Dependents,Couple and Three Dependents,HIOS Issuer ID,Market Coverage
20069TX0100003,2024-01-01,2024-12-31,21,Tobacco User/Non-Tobacco User,Rating Area 3,359.46,359.46,,,,,,,,20069,Individual
20069TX0100003,2024-01-01,2024-12-31,21,Tobacco User/Non-Tobacco User,Rating Area 8,322.32,322.32,,,,,,,,20069,Individual
20069TX0100003,2024-01-01,2024-12-31,21,Tobacco User/Non-Tobacco User,Rating Area 9,294.02,294.02,,,,,,,,20069,Individual
20069TX0100003,2024-01-01,2024-12-31,22,Tobacco User/Non-Tobacco User,Rating Area 18,321.38,321.38,,,,,,,,20069,Individual
20069TX0100003,2024-01-01,2024-12-31,22,Tobacco User/Non-Tobacco User,Rating Area 25,322.47,322.47,,,,,,,,20069,Individual
20069TX0100003,2024-01-01,2024-12-31,22,Tobacco User/Non-Tobacco User,Rating Area 3,359.46,359.46,,,,,,,,20069,Individual
20069TX0100003,2024-01-01,2024-12-31,22,Tobacco User/Non-Tobacco User,Rating Area 8,322.32,322.32,,,,,,,,20069,Individual
20069TX0100003,2024-01-01,2024-12-31,22,Tobacco User/Non-Tobacco User,Rating Area 9,294.02,294.02,,,,,,,,20069,Individual
20069TX0100003,2024-01-01,2024-12-31,23,Tobacco User/Non-Tobacco User,Rating Area 18,321.38,321.38,,,,,,,,20069,Individual
20069TX0100003,2024-01-01,2024-12-31,23,Tobacco User/Non-Tobacco User,Rating Area 25,322.47,322.47,,,,,,,,20069,Individual
20069TX0100003,2024-01-01,2024-12-31,23,Tobacco User/Non-Tobacco User,Rating Area 3,359.46,359.46,,,,,,,,20069,Individual
20069TX0100003,2024-01-01,2024-12-31,23,Tobacco User/Non-Tobacco User,Rating Area 8,322.32,322.32,,,,,,,,20069,Individual
20069TX0100003,2024-01-01,2024-12-31,23,Tobacco User/Non-Tobacco User,Rating Area 9,294.02,294.02,,,,,,,,20069,Individual
20069TX0100003,2024-01-01,2024-12-31,24,Tobacco User/Non-Tobacco User,Rating Area 18,321.38,321.38,,,,,,,,20069,Individual
20069TX0100003,2024-01-01,2024-12-31,24,Tobacco User/Non-Tobacco User,Rating Area 25,322.47,322.47,,,,,,,,20069,Individual
20069TX0100003,2024-01-01,2024-12-31,24,Tobacco User/Non-Tobacco User,Rating Area 3,359.46,359.46,,,,,,,,20069,Individual
20069TX0100003,2024-01-01,2024-12-31,24,Tobacco User/Non-Tobacco User,Rating Area 8,322.32,322.32,,,,,,,,20069,Individual
20069TX0100003,2024-01-01,2024-12-31,24,Tobacco User/Non-Tobacco User,Rating Area 9,294.02,294.02,,,,,,,,20069,Individual
20069TX0100003,2024-01-01,2024-12-31,25,Tobacco User/Non-Tobacco User,Rating Area 18,322.65,338.79,,,,,,,,20069,Individual
20069TX0100003,2024-01-01,2024-12-31,25,Tobacco User/Non-Tobacco User,Rating Area 25,323.75,339.94,,,,,,,,20069,Individual
20069TX0100003,2024-01-01,2024-12-31,25,Tobacco User/Non-Tobacco User,Rating Area 3,360.89,378.93,,,,,,,,20069,Individual
20069TX0100003,2024-01-01,2024-12-31,25,Tobacco User/Non-Tobacco User,Rating Area 8,323.60,339.78,,,,,,,,20069,Individual
20069TX0100003,2024-01-01,2024-12-31,25,Tobacco User/Non-Tobacco User,Rating Area 9,295.18,309.94,,,,,,,,20069,Individual
20069TX0100003,2024-01-01,2024-12-31,26,Tobacco User/Non-Tobacco User,Rating Area 18,329.08,345.54,,,,,,,,20069,Individual
20069TX0100003,2024-01-01,2024-12-31,26,Tobacco User/Non-Tobacco User,Rating Area 25,330.20,346.71,,,,,,,,20069,Individual
20069TX0100003,2024-01-01,2024-12-31,26,Tobacco User/Non-Tobacco User,Rating Area 3,368.08,386.48,,,,,,,,20069,Individual
20069TX0100003,2024-01-01,2024-12-31,26,Tobacco User/Non-Tobacco User,Rating Area 8,330.05,346.55,,,,,,,,20069,Individual
20069TX0100003,2024-01-01,2024-12-31,26,Tobacco User/Non-Tobacco User,Rating Area 9,301.06,316.12,,,,,,,,20069,Individual
20069TX0100003,2024-01-01,2024-12-31,27,Tobacco User/Non-Tobacco User,Rating Area 18,336.79,353.63,,,,,,,,20069,Individual
20069TX0100003,2024-01-01,2024-12-31,27,Tobacco User/Non-Tobacco User,Rating Area 25,337.94,354.84,,,,,,,,20069,Individual
20069TX0100003,2024-01-01,2024-12-31,27,Tobacco User/Non-Tobacco User,Rating Area 3,376.70,395.54,,,,,,,,20069,Individual
20069TX0100003,2024-01-01,2024-12-31,27,Tobacco User/Non-Tobacco User,Rating Area 8,337.78,354.67,,,,,,,,20069,Individual
20069TX0100003,2024-01-01,2024-12-31,27,Tobacco User/Non-Tobacco User,Rating Area 9,308.12,323.53,,,,,,,,20069,Individual
20069TX0100003,2024-01-01,2024-12-31,28,Tobacco User/Non-Tobacco User,Rating Area 18,349.33,366.79,,,,,,,,20069,Individual
20069TX0100003,2024-01-01,2024-12-31,28,Tobacco User/Non-Tobacco User,Rating Area 25,350.52,368.04,,,,,,,,20069,Individual
20069TX0100003,2024-01-01,2024-12-31,28,Tobacco User/Non-Tobacco User,Rating Area 3,390.72,410.26,,,,,,,,20069,Individual
20069TX0100003,2024-01-01,2024-12-31,28,Tobacco User/Non-Tobacco User,Rating Area 8,350.35,367.87,,,,,,,,20069,Individual
20069TX0100003,2024-01-01,2024-12-31,28,Tobacco User/Non-Tobacco User,Rating Area 9,319.59,335.56,,,,,,,,20069,Individual
20069TX0100003,2024-01-01,2024-12-31,29,Tobacco User/Non-Tobacco User,Rating Area 18,359.61,377.59,,,,,,,,20069,Individual
20069TX0100003,2024-01-01,2024-12-31,29,Tobacco User/Non-Tobacco User,Rating Area 25,360.84,378.88,,,,,,,,20069,Individual
20069TX0100003,2024-01-01,2024-12-31,29,Tobacco User/Non-Tobacco User,Rating Area 3,402.23,422.34,,,,,,,,20069,Individual
20069TX0100003,2024-01-01,2024-12-31,29,Tobacco User/Non-Tobacco User,Rating Area 8,360.67,378.70,,,,,,,,20069,Individual
20069TX0100003,2024-01-01,2024-12-31,29,Tobacco User/Non-Tobacco User,Rating Area 9,328.99,345.44,,,,,,,,20069,Individual
20069TX0100003,2024-01-01,2024-12-31,30,Tobacco User/Non-Tobacco User,Rating Area 18,364.75,382.99,,,,,,,,20069,Individual
20069TX0100003,2024-01-01,2024-12-31,30,Tobacco User/Non-Tobacco User,Rating Area 25,366.00,384.29,,,,,,,,20069,Individual
20069TX0100003,2024-01-01,2024-12-31,30,Tobacco User/Non-Tobacco User,Rating Area 3,407.98,428.38,,,,,,,,20069,Individual
20069TX0100003,2024-01-01,2024-12-31,30,Tobacco User/Non-Tobacco User,Rating Area 8,365.82,384.11,,,,,,,,20069,Individual
20069TX0100003,2024-01-01,2024-12-31,30,Tobacco User/Non-Tobacco User,Rating Area 9,333.70,350.38,,,,,,,,20069,Individual
20069TX0100003,2024-01-01,2024-12-31,31,Tobacco User/Non-Tobacco User,Rating Area 18,372.47,391.09,,,,,,,,20069,Individual
20069TX0100003,2024-01-01,2024-12-31,31,Tobacco User/Non-Tobacco User,Rating Area 25,373.73,392.42,,,,,,,,20069,Individual
20069TX0100003,2024-01-01,2024-12-31,31,Tobacco User/Non-Tobacco User,Rating Area 3,416.60,437.43,,,,,,,,20069,Individual
20069TX0100003,2024-01-01,2024-12-31,31,Tobacco User/Non-Tobacco User,Rating Area 8,373.56,392.24,,,,,,,,20069,Individual
20069TX0100003,2024-01-01,2024-12-31,31,Tobacco User/Non-Tobacco User,Rating Area 9,340.75,357.79,,,,,,,,20069,Individual
20069TX0100003,2024-01-01,2024-12-31,32,Tobacco User/Non-Tobacco User,Rating Area 18,380.18,399.19,,,,,,,,20069,Individual
20069TX0100003,2024-01-01,2024-12-31,32,Tobacco User/Non-Tobacco User,Rating Area 25,381.47,400.55,,,,,,,,20069,Individual
20069TX0100003,2024-01-01,2024-12-31,32,Tobacco User/Non-Tobacco User,Rating Area 3,425.23,446.49,,,,,,,,20069,Individual
20069TX0100003,2024-01-01,2024-12-31,32,Tobacco User/Non-Tobacco User,Rating Area 8,381.29,400.36,,,,,,,,20069,Individual
20069TX0100003,2024-01-01,2024-12-31,32,Tobacco User/Non-Tobacco User,Rating Area 9,347.81,365.20,,,,,,,,20069,Individual
20069TX0100003,2024-01-01,2024-12-31,33,Tobacco User/Non-Tobacco User,Rating Area 18,385.00,404.25,,,,,,,,20069,Individual
20069TX0100003,2024-01-01,2024-12-31,33,Tobacco User/Non-Tobacco User,Rating Area 25,386.31,405.63,,,,,,,,20069,Individual
20069TX0100003,2024-01-01,2024-12-31,33,Tobacco User/Non-Tobacco User,Rating Area 3,430.62,452.15,,,,,,,,20069,Individual
20069TX0100003,2024-01-01,2024-12-31,33,Tobacco User/Non-Tobacco User,Rating Area 8,386.13,405.44,,,,,,,,20069,Individual
20069TX0100003,2024-01-01,2024-12-31,33,Tobacco User/Non-Tobacco User,Rating Area 9,352.22,369.83,,,,,,,,20069,Individual
20069TX0100003,2024-01-01,2024-12-31,34,Tobacco User/Non-Tobacco User,Rating Area 18,390.14,409.65,,,,,,,,20069,Individual
20069TX0100003,2024-01-01,2024-12-31,34,Tobacco User/Non-Tobacco User,Rating Area 25,391.47,411.04,,,,,,,,20069,Individual
20069TX0100003,2024-01-01,2024-12-31,34,Tobacco User/Non-Tobacco User,Rating Area 3,436.37,458.19,,,,,,,,20069,Individual
20069TX0100003,2024-01-01,2024-12-31,34,Tobacco User/Non-Tobacco User,Rating Area 8,391.29,410.85,,,,,,,,20069,Individual
20069TX0100003,2024-01-01,2024-12-31,34,Tobacco User/Non-Tobacco User,Rating Area 9,356.92,374.77,,,,,,,,20069,Individual
20069TX0100003,2024-01-01,2024-12-31,35,Tobacco User/Non-Tobacco User,Rating Area 18,392.71,428.06,,,,,,,,20069,Individual
20069TX0100003,2024-01-01,2024-12-31,35,Tobacco User/Non-Tobacco User,Rating Area 25,394.05,429.51,,,,,,,,20069,Individual
20069TX0100003,2024-01-01,2024-12-31,35,Tobacco User/Non-Tobacco User,Rating Area 3,439.25,478.78,,,,,,,,20069,Individual
20069TX0100003,2024-01-01,2024-12-31,35,Tobacco User/Non-Tobacco User,Rating Area 8,393.86,429.31,,,,,,,,20069,Individual
20069TX0100003,2024-01-01,2024-12-31,35,Tobacco User/Non-Tobacco User,Rating Area 9,359.28,391.61,,,,,,,,20069,Individual
20069TX0100003,2024-01-01,2024-12-31,36,Tobacco User/Non-Tobacco User,Rating Area 18,395.28,430.86,,,,,,,,20069,Individual
20069TX0100003,2024-01-01,2024-12-31,36,Tobacco User/Non-Tobacco User,Rating Area 25,396.63,432.33,,,,,,,,20069,Individual
20069TX0100003,2024-01-01,2024-12-31,36,Tobacco User/Non-Tobacco User,Rating Area 3,442.12,481.92,,,,,,,,20069,Individual
20069TX0100003,2024-01-01,2024-12-31,36,Tobacco User/Non-Tobacco User,Rating Area 8,396.44,432.12,,,,,,,,20069,Individual
20069TX0100003,2024-01-01,2024-12-31,36,Tobacco User/Non-Tobacco User,Rating Area 9,361.63,394.18,,,,,,,,20069,Individual
20069TX0100003,2024-01-01,2024-12-31,37,Tobacco User/Non-Tobacco User,Rating Area 18,397.85,433.66,,,,,,,,20069,Individual
20069TX0100003,2024-01-01,2024-12-31,37,Tobacco User/Non-Tobacco User,Rating Area 25,399.21,435.14,,,,,,,,20069,Individual
20069TX0100003,2024-01-01,2024-12-31,37,Tobacco User/Non-Tobacco User,Rating Area 3,445.00,485.05,,,,,,,,20069,Individual
20069TX0100003,2024-01-01,2024-12-31,37,Tobacco User/Non-Tobacco User,Rating Area 8,399.02,434.93,,,,,,,,20069,Individual
20069TX0100003,2024-01-01,2024-12-31,37,Tobacco User/Non-Tobacco User,Rating Area 9,363.98,396.74,,,,,,,,20069,Individual
20069TX0100003,2024-01-01,2024-12-31,38,Tobacco User/Non-Tobacco User,Rating Area 18,400.42,436.46,,,,,,,,20069,Individual
20069TX0100003,2024-01-01,2024-12-31,38,Tobacco User/Non-Tobacco User,Rating Area 25,401.79,437.95,,,,,,,,20069,Individual
20069TX0100003,2024-01-01,2024-12-31,38,Tobacco User/Non-Tobacco User,Rating Area 3,447.88,488.19,,,,,,,,20069,Individual
20069TX0100003,2024-01-01,2024-12-31,38,Tobacco User/Non-Tobacco User,Rating Area 8,401.60,437.74,,,,,,,,20069,Individual
20069TX0100003,2024-01-01,2024-12-31,38,Tobacco User/Non-Tobacco User,Rating Area 9,366.33,399.30,,,,,,,,20069,Individual
20069TX0100003,2024-01-01,2024-12-31,39,Tobacco User/Non-Tobacco User,Rating Area 18,405.57,442.07,,,,,,,,20069,Individual
20069TX0100003,2024-01-01,2024-12-31,39,Tobacco User/Non-Tobacco User,Rating Area 25,406.95,443.57,,,,,,,,20069,Individual
20069TX0100003,2024-01-01,2024-12-31,39,Tobacco User/Non-Tobacco User,Rating Area 3,453.63,494.45,,,,,,,,20069,Individual
20069TX0100003,2024-01-01,2024-12-31,39,Tobacco User/Non-Tobacco User,Rating Area 8,406.76,443.37,,,,,,,,20069,Individual
20069TX0100003,2024-01-01,2024-12-31,39,Tobacco User/Non-Tobacco User,Rating Area 9,371.04,404.43,,,,,,,,20069,Individual
20069TX0100003,2024-01-01,2024-12-31,40,Tobacco User/Non-Tobacco User,Rating Area 18,410.71,447.67,,,,,,,,20069,Individual
20069TX0100003,2024-01-01,2024-12-31,40,Tobacco User/Non-Tobacco User,Rating Area 25,412.11,449.20,,,,,,,,20069,Individual
20069TX0100003,2024-01-01,2024-12-31,40,Tobacco User/Non-Tobacco User,Rating Area 3,459.38,500.72,,,,,,,,20069,Individual
20069TX0100003,2024-01-01,2024-12-31,40,Tobacco User/Non-Tobacco User,Rating Area 8,411.91,448.99,,,,,,,,20069,Individual
20069TX0100003,2024-01-01,2024-12-31,40,Tobacco User/Non-Tobacco User,Rating Area 9,375.74,409.56,,,,,,,,20069,Individual
20069TX0100003,2024-01-01,2024-12-31,41,Tobacco User/Non-Tobacco User,Rating Area 18,418.42,456.08,,,,,,,,20069,Individual
20069TX0100003,2024-01-01,2024-12-31,41,Tobacco User/Non-Tobacco User,Rating Area 25,419.85,457.63,,,,,,,,20069,Individual
20069TX0100003,2024-01-01,2024-12-31,41,Tobacco User/Non-Tobacco User,Rating Area 3,468.01,510.13,,,,,,,,20069,Individual
20069TX0100003,2024-01-01,2024-12-31,41,Tobacco User/Non-Tobacco User,Rating Area 8,419.65,457.42,,,,,,,,20069,Individual
20069TX0100003,2024-01-01,2024-12-31,41,Tobacco User/Non-Tobacco User,Rating Area 9,382.80,417.25,,,,,,,,20069,Individual
20069TX0100003,2024-01-01,2024-12-31,42,Tobacco User/Non-Tobacco User,Rating Area 18,425.81,464.14,,,,,,,,20069,Individual
20069TX0100003,2024-01-01,2024-12-31,42,Tobacco User/Non-Tobacco User,Rating Area 25,427.26,465.72,,,,,,,,20069,Individual
20069TX0100003,2024-01-01,2024-12-31,42,Tobacco User/Non-Tobacco User,Rating Area 3,476.27,519.14,,,,,,,,20069,Individual
20069TX0100003,2024-01-01,2024-12-31,42,Tobacco User/Non-Tobacco User,Rating Area 8,427.06,465.50,,,,,,,,20069,Individual
20069TX0100003,2024-01-01,2024-12-31,42,Tobacco User/Non-Tobacco User,Rating Area 9,389.56,424.62,,,,,,,,20069,Individual
20069TX0100003,2024-01-01,2024-12-31,43,Tobacco User/Non-Tobacco User,Rating Area 18,436.10,475.35,,,,,,,,20069,Individual
20069TX0100003,2024-01-01,2024-12-31,43,Tobacco User/Non-Tobacco User,Rating Area 25,437.58,476.96,,,,,,,,20069,Individual
20069TX0100003,2024-01-01,2024-12-31,43,Tobacco User/Non-Tobacco User,Rating Area 3,487.78,531.68,,,,,,,,20069,Individual
20069TX0100003,2024-01-01,2024-12-31,43,Tobacco User/Non-Tobacco User,Rating Area 8,437.38,476.74,,,,,,,,20069,Individual
20069TX0100003,2024-01-01,2024-12-31,43,Tobacco User/Non-Tobacco User,Rating Area 9,398.97,434.87,,,,,,,,20069,Individual
20069TX0100003,2024-01-01,2024-12-31,44,Tobacco User/Non-Tobacco User,Rating Area 18,448.95,489.36,,,,,,,,20069,Individual
20069TX0100003,2024-01-01,2024-12-31,44,Tobacco User/Non-Tobacco User,Rating Area 25,450.48,491.02,,,,,,,,20069,Individual
20069TX0100003,2024-01-01,2024-12-31,44,Tobacco User/Non-Tobacco User,Rating Area 3,502.15,547.35,,,,,,,,20069,Individual
20069TX0100003,2024-01-01,2024-12-31,44,Tobacco User/Non-Tobacco User,Rating Area 8,450.27,490.79,,,,,,,,20069,Individual
20069TX0100003,2024-01-01,2024-12-31,44,Tobacco User/Non-Tobacco User,Rating Area 9,410.73,447.69,,,,,,,,20069,Individual
20069TX0100003,2024-01-01,2024-12-31,45,Tobacco User/Non-Tobacco User,Rating Area 18,464.06,505.82,,,,,,,,20069,Individual
20069TX0100003,2024-01-01,2024-12-31,45,Tobacco User/Non-Tobacco User,Rating Area 25,465.64,507.54,,,,,,,,20069,Individual
20069TX0100003,2024-01-01,2024-12-31,45,Tobacco User/Non-Tobacco User,Rating Area 3,519.05,565.76,,,,,,,,20069,Individual
20069TX0100003,2024-01-01,2024-12-31,45,Tobacco User/Non-Tobacco User,Rating Area 8,465.42,507.31,,,,,,,,20069,Individual
20069TX0100003,2024-01-01,2024-12-31,45,Tobacco User/Non-Tobacco User,Rating Area 9,424.55,462.76,,,,,,,,20069,Individual
20069TX0100003,2024-01-01,2024-12-31,46,Tobacco User/Non-Tobacco User,Rating Area 18,482.05,525.44,,,,,,,,20069,Individual
20069TX0100003,2024-01-01,2024-12-31,46,Tobacco User/Non-Tobacco User,Rating Area 25,483.69,527.23,,,,,,,,20069,Individual
20069TX0100003,2024-01-01,2024-12-31,46,Tobacco User/Non-Tobacco User,Rating Area 3,539.18,587.70,,,,,,,,20069,Individual
20069TX0100003,2024-01-01,2024-12-31,46,Tobacco User/Non-Tobacco User,Rating Area 8,483.47,526.98,,,,,,,,20069,Individual
20069TX0100003,2024-01-01,2024-12-31,46,Tobacco User/Non-Tobacco User,Rating Area 9,441.01,480.70,,,,,,,,20069,Individual
20069TX0100003,2024-01-01,2024-12-31,47,Tobacco User/Non-Tobacco User,Rating Area 18,502.30,547.51,,,,,,,,20069,Individual
20069TX0100003,2024-01-01,2024-12-31,47,Tobacco User/Non-Tobacco User,Rating Area 25,504.01,549.37,,,,,,,,20069,Individual
20069TX0100003,2024-01-01,2024-12-31,47,Tobacco User/Non-Tobacco User,Rating Area 3,561.82,612.39,,,,,,,,20069,Individual
20069TX0100003,2024-01-01,2024-12-31,47,Tobacco User/Non-Tobacco User,Rating Area 8,503.77,549.11,,,,,,,,20069,Individual
20069TX0100003,2024-01-01,2024-12-31,47,Tobacco User/Non-Tobacco User,Rating Area 9,459.53,500.89,,,,,,,,20069,Individual
20069TX0100003,2024-01-01,2024-12-31,48,Tobacco User/Non-Tobacco User,Rating Area 18,525.44,572.73,,,,,,,,20069,Individual
20069TX0100003,2024-01-01,2024-12-31,48,Tobacco User/Non-Tobacco User,Rating Area 25,527.23,574.68,,,,,,,,20069,Individual
20069TX0100003,2024-01-01,2024-12-31,48,Tobacco User/Non-Tobacco User,Rating Area 3,587.70,640.60,,,,,,,,20069,Individual
20069TX0100003,2024-01-01,2024-12-31,48,Tobacco User/Non-Tobacco User,Rating Area 8,526.98,574.41,,,,,,,,20069,Individual
20069TX0100003,2024-01-01,2024-12-31,48,Tobacco User/Non-Tobacco User,Rating Area 9,480.70,523.96,,,,,,,,20069,Individual
20069TX0100003,2024-01-01,2024-12-31,49,Tobacco User/Non-Tobacco User,Rating Area 18,548.25,597.60,,,,,,,,20069,Individual
20069TX0100003,2024-01-01,2024-12-31,49,Tobacco User/Non-Tobacco User,Rating Area 25,550.12,599.63,,,,,,,,20069,Individual
20069TX0100003,2024-01-01,2024-12-31,49,Tobacco User/Non-Tobacco User,Rating Area 3,613.22,668.41,,,,,,,,20069,Individual
20069TX0100003,2024-01-01,2024-12-31,49,Tobacco User/Non-Tobacco User,Rating Area 8,549.86,599.35,,,,,,,,20069,Individual
20069TX0100003,2024-01-01,2024-12-31,49,Tobacco User/Non-Tobacco User,Rating Area 9,501.58,546.72,,,,,,,,20069,Individual
20069TX0100003,2024-01-01,2024-12-31,50,Tobacco User/Non-Tobacco User,Rating Area 18,573.96,625.62,,,,,,,,20069,Individual
20069TX0100003,2024-01-01,2024-12-31,50,Tobacco User/Non-Tobacco User,Rating Area 25,575.92,627.75,,,,,,,,20069,Individual
20069TX0100003,2024-01-01,2024-12-31,50,Tobacco User/Non-Tobacco User,Rating Area 3,641.98,699.76,,,,,,,,20069,Individual
20069TX0100003,2024-01-01,2024-12-31,50,Tobacco User/Non-Tobacco User,Rating Area 8,575.65,627.46,,,,,,,,20069,Individual
20069TX0100003,2024-01-01,2024-12-31,50,Tobacco User/Non-Tobacco User,Rating Area 9,525.10,572.36,,,,,,,,20069,Individual
20069TX0100003,2024-01-01,2024-12-31,51,Tobacco User/Non-Tobacco User,Rating Area 18,599.35,653.29,,,,,,,,20069,Individual
20069TX0100003,2024-01-01,2024-12-31,51,Tobacco User/Non-Tobacco User,Rating Area 25,601.39,655.52,,,,,,,,20069,Individual
20069TX0100003,2024-01-01,2024-12-31,51,Tobacco User/Non-Tobacco User,Rating Area 3,670.38,730.71,,,,,,,,20069,Individual
20069TX0100003,2024-01-01,2024-12-31,51,Tobacco User/Non-Tobacco User,Rating Area 8,601.11,655.21,,,,,,,,20069,Individual
20069TX0100003,2024-01-01,2024-12-31,51,Tobacco User/Non-Tobacco User,Rating Area 9,548.32,597.67,,,,,,,,20069,Individual
20069TX0100003,2024-01-01,2024-12-31,52,Tobacco User/Non-Tobacco User,Rating Area 18,627.31,683.77,,,,,,,,20069,Individual
20069TX0100003,2024-01-01,2024-12-31,52,Tobacco User/Non-Tobacco User,Rating Area 25,629.45,686.10,,,,,,,,20069,Individual
